Authors,Title,Discipline,Source title
"Martín-Retortillo M., Pinilla V., Velazco J., Willebald H.",IS THERE A LATIN AMERICAN AGRICULTURAL GROWTH PATTERN? FACTOR ENDOWMENTS and PRODUCTIVITY in the SECOND HALF of the 20THCENTURY,,Revista de Historia Economica - Journal of Iberian and Latin American Economic History
O'Brien P.,Was the British industrial revolution a conjuncture in global economic history?,,Journal of Global History
Antic A.,"Decolonizing madness? Transcultural psychiatry, international order and birth of a 'global psyche' in the aftermath of the Second World War",,Journal of Global History
Gautério R.C.H.,Divorce?: Andradina de Oliveira and the transgressive voice at the turn of the 19th-20th century [Divórcio?: Andradina de Oliveira e a voz transgressora na virada do século XIX-XX],,"Heranca - History, Heritage and Culture Journal"
Zinani C.J.A.,"Anália Vieira do Nascimento, A Writer from Porto Alegre in the Almanaque de Lembranças Luso-Brasileiro [Anália Vieira do Nascimento, Uma Portoalegrense no Almanaque de Lembranças Luso-brasileiro]",,"Heranca - History, Heritage and Culture Journal"
Dos Santos S.R.P.,The writing of Andradina de Oliveira: a testimony of the time [A escrita de Andradina de Oliveira: testemunho de época],,"Heranca - History, Heritage and Culture Journal"
Vries P.,"Patrick O'Brien on industrialization, little Britain and the wider world",,Journal of Global History
Boyd K.D.,"A Body of Business Makers: The Detroit Housewives League, Black Women Entrepreneurs, and the Rise of Detroit's African American Business Community",,Enterprise and Society
"Alfani G., Gierok V., Schaff F.","Economic Inequality in Preindustrial Germany, ca. 1300-1850",,Journal of Economic History
Zori C.,"Queros as Inalienable Objects: Ritual Drinking Vessels and the End of the Inka Empire at Moqi (Locumba Valley, Southern Peru)",,Latin American Antiquity
"McCarthy B., Boland A., Murphy S., Cooney C.",Vocally disruptive behavior: A case report and literature review,,Irish Journal of Psychological Medicine
Pujol i Campeny A.,Sí and hoc in the history of Catalan From the 13th to the 17th century,,Revue Romane
Carlucci A.,Opinions about perceived linguistic intelligibility in late-medieval Italy,,Revue Romane
"Barnes V., Newton L., Scott P.","A Quiet Victory: National Provincial, Gibson Hall, and the Switch from Comprehensive Redevelopment to Urban Preservation in 1960s London",,Enterprise and Society
"Peak B.A., Latychev K., Hoggard M.J., Mitrovica J.X.",Glacial isostatic adjustment in the Red Sea: Impact of 3-D Earth structure,,Quaternary Science Reviews
Cortada J.W.,"Viewing Corporations as Information Ecosystems: The Case of IBM, 1914-1980s",,Enterprise and Society
"Ahern E., Cohen D., Prior C., Raji E.",Menstrual psychosis,,Irish Journal of Psychological Medicine
Berecz Á.,A Contest for Priority: Nineteenth-Century Place-Name Etymologies of Transylvania at Large,,Nationalities Papers
"Ibeh K., Eyong J.E., Amaeshi K.",Towards advancing African management scholarship,,Journal of Management History
"Portie-Williamson M., Marshall D.R., Novicevic M.M., Mills A.J., Lugar C.W.",Performing intersectional identity work over time: the historic case of Viola Turner,,Journal of Management History
"Quinn M., Oliveira J., Santidrián A.",Accounting controls at the Society of Jesus – 1646 to 2005,,Journal of Management History
Pollach I.,The diffusion of management fads: a popularization perspective,,Journal of Management History
Smith E.A.,"Technology, market change and the privatisation of communications in Britain",,Journal of Management History
"Donzé P.-Y., Nishimura S.",Patent management and the globalization of firms: the case of Siemens (1890–1945),,Journal of Management History
"Couyoumdjian J.P., Larroulet C., Díaz D.A.","ANOTHER CASE of the MIDDLE-INCOME TRAP: CHILE, 1900-1939",,Revista de Historia Economica - Journal of Iberian and Latin American Economic History
"Zhao M., Yang F., Zhang Y.",The power of culture: The gendered impact of family structures and living arrangements on social networks of Chinese older adults,,Ageing and Society
Bennett S.,Mythopoetic legitimation and the recontextualisation of Europe’s foundational myth,,Journal of Language and Politics
"Maccaferri M., Newth G.",The delegitimisation of Europe in a pro-European country ‘Sovereignism’ and populism in the political discourse of Matteo Salvini’s Lega,,Journal of Language and Politics
De Munck B.,Assembling Path Dependency and History: An Actor-Network Approach tory and the broader social scienc,,Journal of Interdisciplinary History
Pompermaier M.,Credit and Poverty in Early Modern Venice,,Journal of Interdisciplinary History
"Sánchez-Alonso B., Santiago-Caballero C.",Spain’s Loss of Human Capital after the Civil War: Spanish Refugees in Mexico,,Journal of Interdisciplinary History
Maliugin O.I.,FROM ANTIQUITY TO THE PARIS COMMUNE: S. A. LJASKOWSKI AT THE BELARUSIAN STATE UNIVERSITY,,Zhurnal Belorusskogo Gosudarstvennogo Universiteta. Istoriya
Nastusevich S.V.,"THE CONCEPTS OF «BIOGRAPHICA» AND «BIOGRAPHISTICA» IN RUSSIAN, UKRAINIAN AND BELARUSIAN HISTORICAL SCIENCE",,Zhurnal Belorusskogo Gosudarstvennogo Universiteta. Istoriya
Bukharin M.D.,«MAY GOD GUARD YOU AND GIVE YOU MUCH STRENGTH FOR SCIENTIFIC WORK»: A. V. FLOROVSKY AND BELARUSIAN SLAVIC STUDIES IN VILNO OF THE SECOND HALF OF THE 1930s,,Zhurnal Belorusskogo Gosudarstvennogo Universiteta. Istoriya
"Yanouski A.A., Menkouski V.I.",SCIENTIFIC SCHOOL OF RUSSIAN AND UKRAINIAN STUDIES AT THE BELARUSIAN STATE UNIVERSITY,,Zhurnal Belorusskogo Gosudarstvennogo Universiteta. Istoriya
Lenkov P.D.,"Metaphorical Interpretations of the Alchemical Language in the Late Taoist Text (based on Long men xin fa, 17 c.)",,Voprosy Filosofii
Terekhin E.L.,Search for New Types of Scientific Rationality in an Anthropological Crisis: a Relativistic Approach,,Voprosy Filosofii
Devés M.A.,Art Criticism as an Eesthetic and Political Intervention: Cayetano Córdova Iturburu in AIAPE’s Publications (1935-1943) [La crítica de arte como intervención estética y política: Cayetano Córdova Iturburu en las publicaciones de la AIAPE (1935-1943)],,Archivos de Historia del Movimiento Obrero y la Izquierda
San Narciso D.,"The Crown in National Disguises: The Uses of Monarchy’s Historical Past in Spanish Nation-Building, 1833-1868",,Nationalities Papers
"Banko L., Nowak K., Gatrell P.","What is refugee history, now?",,Journal of Global History
"Shendrikova S.P., Polishchuk E.A., Pavlenko I.G., Yudina A.A.",The Social and Historical Role of the Palatial Estates and hotels of the Southern Coast of Crimea in Formation of Experience Economy in the South of Russia (XIX - early XX c.) [Социоисторическая роль дворцовых усадеб и гостиниц Южного берега Крыма в формировании экономики впечатлений Юга России (XIX - начало XX вв.)],,Bylye Gody
Molchanova V.S.,In Memory of Vladimir Gavrilovich Ivantsov (1947-2022) [Памяти Владимира Гавриловича Иванцова (1947-2022 гг.)],,Bylye Gody
Rainer F.,Origin and development of the suffix-ARÍA in Romance,,Zeitschrift fur Romanische Philologie
Nelson S.,Abstract Nationalisms Barnett Newman and Buried History,,American Art
Samur S.X.,A Fan through the Ages: Layers of Adaptation in SITI Company's Hanjo,,Modern Drama
Dudarev S.L.,On the Problem of Periodization of the end of the Middle Ages - Modern Times in the North Caucasus [К проблеме периодизации конца Средневековья - Нового времени на Северном Кавказе],,Bylye Gody
Lingier H.,RELIGION IN CONTEXT: HISTORY AND POLICY IN HUME’S NATURAL HISTORY OF RELIGION,,Journal of Scottish Philosophy
Pinnix A.,Surfacing Ecological Disaster: Poets for Living Waters and the Deepwater Horizon Oil Spill,,Zeitschrift fur Anglistik und Amerikanistik
Bourland W.I.,"Whose Expanded Field? Bruce Nauman, New Mexico, and the Center of the Universe (1988)",,American Art
"Baishov B.B., Zhapekova G.K., Cetin N., Abdrakhmanova G.S.",Historical and Geographical Information about the Exploration of the Caspian Sea in Cartographic Materials [Историко-географические сведения об освоении Каспийского моря в картографических материалах],,Bylye Gody
"Babenko O.V., Nikitin P.V.",To the Question of History of the Opera Art in the Russian Empire in the XIX century [К вопросу об истории оперного искусства Российской империи в XIX веке],,Bylye Gody
"Ageeva V.A., Kolesnikova M.E., Nechushkin A.Y., Shchukina E.L.",On the Issue of the Specifics of Cossack Education in the Russian Empire (on the Example of the Don Army) [К вопросу о специфике казачьего образования в Российской империи (на примере Войска Донского)],,Bylye Gody
Retaro V.,Contatti linguistici lungo le coste tirreniche: storia della parola marruffo,,Zeitschrift fur Romanische Philologie
"Beckman E., Nir O., Sauri E.",Peripheral Literatures and the History of Capitalism: An Introduction,,MFS - Modern Fiction Studies
"Ishkalova G.I., Kalysh A.B.",Traditional Hunting of Kazakhs in the Works of Russian Researchers (19th - early 20th centuries) [Традиционная охота казахов в трудах российских исследователей (ХІХ - начало ХХ вв.)],,Bylye Gody
"Sydykov E.B., Aitmagambetov D.R., Zhanbosinova A.S., Sailaubay E.E.",The Daily Routine of Prisoners of War of the World War I in the Conditions of Asian Russia [Повседневность военнопленных Первой мировой войны в условиях Азиатской России],,Bylye Gody
"Lebid A.E., Honcharenko A.V.",History of the Formation and Development of Epidemiology in the Russian Empire [История становления и развития эпидемиологии в Российской империи],,Bylye Gody
"Rajović G., Tyurin I.V., Berezovskaya L.G., Posokhova L.A.",The Journal “Sotrudnik Zakavkazskoi missii” as a Historical and Philological Source [Журнал «Сотрудник Закавказской миссии» как историко-филологический источник],,Bylye Gody
Mitiukov N.W.,Wooden Shipbuilding of the Votkinsk Plant at the beginning of the 20th century [Деревянное судостроение Воткинского завода начала ХХ в],,Bylye Gody
"Bulgarova B.A., Barabash V.V., Poplavskaya N.V., Lavrentyeva M.Y.",The Theme of Military Propaganda during the First World War on the Pages of the “Propaganda in the World and Local Conflicts” Journal [Тема военной пропаганды в годы Первой мировой войны на страницах журнала «Propaganda in the World and Local Conflicts»],,Bylye Gody
Robertson B.,Poster Children of the Sun George M. Ottinger’s Mesoamerican History Paintings and Latter-day Saint Identity in the U.S.-Mexico Borderlands,,American Art
"Panova E.L., Ponomareva M.A.",Initiatives of the Professional Physicians' Community in the Development of Higher Medical Education for Women in Russia in the second half of the XIX century [Инициативы профессионального врачебного сообщества в развитии высшего медицинского образования для женщин в России по второй половине XIX века],,Bylye Gody
"Blevins C., Hyman C.","Printed Communities Race, Respectability, and Black Digital History and the Civil War Era",,Journal of the Civil War Era
"Shefer T., Bozalek V.",Wild Swimming Methodologies for Decolonial Feminist Justice-to-Come Scholarship,,Feminist Review
"Tien J., Burmann E.",Thinking-with Decorator Crabs: Oceanic Feminism and Material Remediation in the Multispecies Aquarium,,Feminist Review
"Bergmark J., Danker S.H.",Race-based mascots: Reflecting on university–community conversations,,International Journal of Education Through Art
Trüper H.,Rettung der Toten vor dem Vergessen: Über Historisierung und Humanitarismus,,KulturPoetik
Roberts M.,Narrating the Saints: Paulinus of Nola and the Beginning of Verse Hagiography,,Journal of Late Antiquity
