Authors,Title,Discipline,Source title
"Bayekeyeva A.T., Tazhibayeva S.Zh., Shaheen A.A., Beisenova Z.S., Mamayeva G.B.",Developing an Online Kazakh-English-Russian Thesaurus of Industry-Specific Terminology,,"International Journal of Society, Culture and Language"
Yan L.,Critical-Thinking Experiences of Chinese and U.S. College Students: A Comparative Analysis Using Phenomenology,,Qualitative Report
"Shokym G., Burankulova E., Yessenova K., Sarbassova A., Yerzhanova G., Kyzy B.B.",Representation of the “kyz” Gender Concept in the Turkic Linguistics,,"International Journal of Society, Culture and Language"
"Pepper M., Powell R.",Domestic and Family Violence: Responses and Approaches across the Australian Churches,,Religions
"Binti Mohamad Ismail F.N., Chu S.Y., Gan K.B., Park H.R., Lee J., Barlow S.M., Razak R.A.",Speech Performance among Healthy Malay Female Speakers during Dual Tasks and Sentence Complexity,,Folia Phoniatrica et Logopaedica
Tomioka S.,Focus without pitch boost: focus sensitivity in Japanese why-questions and its theoretical implications,,Journal of East Asian Linguistics
"Kuusi P., Riionheimo H., Kolehmainen L.",Translating into an endangered language: Filling in lexical gaps as Language Making,,International Journal of the Sociology of Language
"Krämer P., Mijts E., Bartens A.",Language Making of Creoles in multilingual postcolonial societies,,International Journal of the Sociology of Language
"Vogl U., De Wilde T.","Teachers as foreign Language Makers: On standard language ideology, authenticity and language expertise",,International Journal of the Sociology of Language
"Jakobs M., Hüning M.",Scholars and their metaphors: On Language Making in linguistics,,International Journal of the Sociology of Language
Lantto H.,New speakers and Language Making: Conscious creation of a colloquial Basque register in the city of Bilbao,,International Journal of the Sociology of Language
Lemaitre G.,"CASE STUDY OF A TUSH TRANSHUMANCE. CONTEMPORARY CHALLENGES OF A JOURNEY ACROSS GEORGIA: SOCIABILITY, CONTINGENCY AND RELATIONSHIP TO THE LAND",,Nomadic Peoples
"Grünke J., Gabriel C.",Acquiring French Intonation against the Backdrop of Heritage Bilingualism: The Case of German–Turkish Learners,,Languages
Alazzawie A.,The Linguistic and Situational Features of WhatsApp Messages Among High School and University Canadian Students,,SAGE Open
Khezri H.,"Kurds, Jews, and Kurdistani Jews: Historic Homelands, Perceptions of Parallels in Persecution, and Allies by Analogy",,Religions
"Philipowski K., Zeman S.",Literarische Strategien des Präsens-Gebrauchs(am Beispiel des ›Wilhalm von Wenden‹ Ulrichs von Etzenbach),,Beitrage zur Geschichte der Deutschen Sprache und Literatur
"Du L., Chen W.",Political Discourse and Translation Studies. A Bibliometric Analysis in International Core Journals,,SAGE Open
Stipp H.-J.,The age of the Masoretic Sondergut in the Book of Jeremiah (Part 2) [Das Alter des masoretischen Sonderguts im Jeremiabuch (Teil 2)],,Zeitschrift fur die Alttestamentliche Wissenschaft
Li L.X.,Improving Modal Verb Treatment in English Textbooks Used by Chinese Learners: A Corpus-Based Approach,,SAGE Open
Ramjattan V.A.,Accenting racism in labour migration,,Annual Review of Applied Linguistics
Syed H.,"""I make my students' assignments bleed with red circles"": An autoethnography of translanguaging in higher education in Pakistan",,Annual Review of Applied Linguistics
Barko-Alva K.,Enseñando en español: The need to support dual language bilingual education teachers' pedagogical language knowledge,,Annual Review of Applied Linguistics
Rajendram S.,"""Our country has gained independence, but we haven't"": Collaborative translanguaging to decolonize English language teaching",,Annual Review of Applied Linguistics
Arango O.,Translenguaje en la villa inmigrante: Creating our path to existence,,Annual Review of Applied Linguistics
Weissler R.E.,A meeting of the minds: Broadening horizons in the study of linguistic discrimination and social justice through sociolinguistic and psycholinguistic approaches,,Annual Review of Applied Linguistics
Figueroa M.,Podcasting past the paywall: How diverse media allows more equitable participation in linguistic science,,Annual Review of Applied Linguistics
"Alavi F., Hakim S.J.",The narrator's mentality in the folk tales of Samad Behrangi and Charles Perrault based on the Kerbrat-Orecchioni model,,Research in Contemporary World Literature/ Pazhuhesh-e Zabanha-ye Khareji
"Arroyo B.L., Valdivieso L.S.",The phraseology of wine and olive oil tasting notes A corpus based semantic analysis,,Terminology
"Sajous F., Martinez C.",Metalexicographical Investigations with the DiCo Database,,International Journal of Lexicography
"Grover V., Namasivayam A., Mahendra N.",A Viewpoint on Accent Services: Framing and Terminology Matter,,American Journal of Speech-Language Pathology
"Girolamo T.M., Politzer-Ahles S., Ghali S., Williams B.T.",Preliminary Evaluation of Applicants to Master’s Programs in Speech-Language Pathology Using Vignettes and Criteria From a Holistic Review Process,,American Journal of Speech-Language Pathology
Green E.M.,The eye and the other: Language and ethics in deaf Nepal,,American Anthropologist
"Natalia S., Darwis M., Kaharuddin, Abbas A.",The Psychological Constraints of Using Japanese Among Indonesian Students,,Journal of Language Teaching and Research
Al-Smadi H.M.,Challenges in Translating Rhetorical Questions in the Holy Qur’an: A Comparative Study,,Theory and Practice in Language Studies
"Cao J., Mansor N.S.B., Ang L.H., Ujum D.A.",Subtitle Translation of American Sitcom The Big Bang Theory From the Perspective of Eco-Translatology,,Journal of Language Teaching and Research
Al-Tamimi J.,Language of Violence in Social Media: A Linguistic Cognitive Study,,Journal of Language Teaching and Research
"Brown M.H., Patchainayagi S.",Resistance Through Language Appropriation to Create a Reality for Oneself in the Postcolonial Nigeria,,Theory and Practice in Language Studies
"Yue Z., Jansem A.",An Empirical Study of Translanguaging Practice in Interpreters' Note-Taking,,Journal of Language Teaching and Research
Wang G.,Multimodal Metaphor Construction and Cognitive Analysis in Educational Cartoons,,Theory and Practice in Language Studies
Shalev D.,Not Yes and Not No: μέση πόκρισις and Other Forms of “Non-Polar Response” in Ancient Greek Sources: Part II1,,Hermes (Germany)
"Chen B., Wang Y., Wang L.",The Effects of Virtual Reality-Assisted Language Learning: A Meta-Analysis,,Sustainability (Switzerland)
"Roshini R., Rajasekaran V.",More Than an Invalid: A Comparative Study Addressing Disability Portrayal in Children’s Fiction,,Theory and Practice in Language Studies
"Liu Z., Hua J., Zhang Z.",Scaffolding Instruction in Virtual Language Learning,,Journal of Language Teaching and Research
Langley E.C.,Bridging the Curriculum Divide: A Proposal for Expressive Writing in World Language Content Courses,,Theory and Practice in Language Studies
"Jaraisy M., Stamp R.",The Vulnerability of Emerging Sign Languages: (E)merging Sign Languages?,,Languages
van der Meulen M.,Are We Indeed So Illuded? Recency and Frequency Illusions in Dutch Prescriptivism,,Languages
"Ormel E., Giezen M.R., Knoors H., Verhoeven L., Gutierrez-Sigut E.",Predictors of Word and Text Reading Fluency of Deaf Children in Bilingual Deaf Education Programmes,,Languages
"Carl M., Icht M., Ben-David B.M.","A Cross-Linguistic Validation of the Test for Rating Emotions in Speech: Acoustic Analyses of Emotional Sentences in English, German, and Hebrew",,"Journal of Speech, Language, and Hearing Research"
"Pham T., Bardell T.E., Vollebregt M., Kuiack A.K., Archibald L.M.D.",Evaluating the Modified-Shortened Token Test as a Working Memory and Language Assessment Tool,,"Journal of Speech, Language, and Hearing Research"
"Wong W.S.W., Law S.P.",Relationship Between Cognitive Functions and Multilevel Language Processing: Data From Chinese Speakers With Aphasia and Implications,,"Journal of Speech, Language, and Hearing Research"
"Torkpoor R., Fioretos I., Essén B., Londos E.","“I Know Hyena. Do you Know Hyena?” Challenges in Interpreter-Mediated Dementia Assessment, Focusing on the Role of the Interpreter",,Journal of Cross-Cultural Gerontology
"de Swart H., Tellings J., Wälchli B.",Not… Until across European Languages: A Parallel Corpus Study,,Languages
"Ozogul G., Zhu M., Phillips T.M.",Perceived and Actual Cognitive Presence: A Case Study of an Intentionally-Designed Asynchronous Online Course,,Online Learning Journal
Adebomi O.O.,Language in a pandemic: A multimodal analysis of social media representation of COVID-19,,Journal of African Media Studies
"Aleksić A., Nestić S., Huber M., Ljepava N.",The Assessment of the Key Competences for Lifelong Learning—The Fuzzy Model Approach for Sustainable Education,,Sustainability (Switzerland)
"Ren Z.-M., Du W.-L., Wen X.-Z.",The Psychological Effects of Digital Companies’ Employees during the Phase of COVID-19 Pandemic Extracted from Online Employee Reviews,,Sustainability (Switzerland)
"Shin C., Tuah D., Yusriadi Y.","An Initial Qualitative Exploration of Economic, Cultural, and Language Changes in Telok Melano, Sarawak, Malaysia",,Sustainability (Switzerland)
"Almahasees Z., Mahmoud S.",Evaluation of Google Image Translate in Rendering Arabic Signage into English,,World Journal of English Language
Johnson D.W.,Word as image: Gadamer on the unity of word and thing,,Continental Philosophy Review
"Jacob S.A., Palanisamy U.D., Napier J., Verstegen D., Dhanoa A., Chong E.Y.-C.",Health Care Needs of Deaf Signers: The Case for Culturally Competent Health Care Providers,,Academic Medicine
"Bilut-Homplewicz Z., Krauz M.",The Concept of the Tender Narrator in Olga Tokarczuk’s Nobel Lecture: Aspects of Linguistic Analysis [Das Konzept der liebevolle Erzähler in Olga Tokarczuks Vorlesung zur Verleihung des Nobelpreises für Literatur: Eine linguistische Analyse],,Lili - Zeitschrift fur Literaturwissenschaft und Linguistik
Bücking S.,Narration Without Narrating: The Role of Imagination and the Grammar of the Epic Preterit [Erzählen ohne Erzählen: Die Rolle von Imagination und die Grammatik des epischen Präteritums],,Lili - Zeitschrift fur Literaturwissenschaft und Linguistik
"Xue J., Zhuo J., Li P., Liu J., Zhao J.",Characterizing macro- and micro-structures of narrative skills for Mandarin-speaking school-age children with specific language impairment,,Journal of Communication Disorders
"Jee H., Tamariz M., Shillcock R.",Exploring meaning-sound systematicity in Korean,,Journal of East Asian Linguistics
McLean M.,Scotch on the Rocks: Literary Identity and Linguistic Anxiety in Enlightenment Scotland,,Journal for Eighteenth-Century Studies
"Hennig M., Jacob J.",Literature in Easy-to-Read Language: Simplicity and Literary Aesthetics [Literatur in vereinfachter Sprache: Einfachheit und literarische Ästhetik],,Lili - Zeitschrift fur Literaturwissenschaft und Linguistik
"Seager E., Sampson S., Sin J., Pagnamenta E., Stojanovik V.","A systematic review of speech, language and communication interventions for children with Down syndrome from 0 to 6 years",,International Journal of Language and Communication Disorders
